sampleName	originalIndex	Cell.Type..Samples	MajorType	JustPyra	GabaDeep	PyramidalDeep	Neurotransmitter1	ShinyNames	ShinySubtypes	CellType	forContanim	Normalize2.0	Normalize	MainName	Description	Region	Anatomical.Region	Age	AgeExact	Method	RNA.isolation.method	RNA.amplification.and.labeling.method	Platform	Reference	PMID	SharePermit	Notes	MouseStrain	ReporterGene
GSM337817	1	H_lva_cortex:v2_GSM337817,v2_GSM337818,v2_GSM337819	NA	NA	NA	NA	NA	NA	NA	NA	Pyramidal	TRUE	TRUE	NA	Pyramidal Neurons	Cortex	Layer 5A Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	Astrocyte contamination		
GSM337818	1	H_lva_cortex:v2_GSM337817,v2_GSM337818,v2_GSM337819	NA	NA	NA	NA	NA	NA	NA	NA	Pyramidal	TRUE	TRUE	NA	Pyramidal Neurons	Cortex	Layer 5A Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	Astrocyte contamination		
GSM337819	1	H_lva_cortex:v2_GSM337817,v2_GSM337818,v2_GSM337819	NA	NA	NA	NA	NA	NA	NA	NA	Pyramidal	TRUE	TRUE	NA	Pyramidal Neurons	Cortex	Layer 5A Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	Astrocyte contamination		
GSM337821	2	H_lvb_cortex:v2_GSM337821,v2_GSM337822,v2_GSM337823	NA	NA	NA	NA	NA	NA	NA	NA	Pyramidal	TRUE	TRUE	NA	Pyramidal Neurons	Cortex	Layer 5B Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	Astrocyte contamination		
GSM337822	2	H_lvb_cortex:v2_GSM337821,v2_GSM337822,v2_GSM337823	NA	NA	NA	NA	NA	NA	NA	NA	Pyramidal	TRUE	TRUE	NA	Pyramidal Neurons	Cortex	Layer 5B Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	Astrocyte contamination		
GSM337823	2	H_lvb_cortex:v2_GSM337821,v2_GSM337822,v2_GSM337823	NA	NA	NA	NA	NA	NA	NA	NA	Pyramidal	TRUE	TRUE	NA	Pyramidal Neurons	Cortex	Layer 5B Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	Astrocyte contamination		
GSM337837	3	H_l6_cortex:v2_GSM337837,v2_GSM337838,v2_GSM337839	NA	NA	NA	NA	NA	NA	NA	NA	Pyramidal	TRUE	TRUE	NA	Pyramidal Neurons	Cortex	Layer 6 Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	Astrocyte contamination		
GSM337838	3	H_l6_cortex:v2_GSM337837,v2_GSM337838,v2_GSM337839	NA	NA	NA	NA	NA	NA	NA	NA	Pyramidal	TRUE	TRUE	NA	Pyramidal Neurons	Cortex	Layer 6 Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	Astrocyte contamination		
GSM337839	3	H_l6_cortex:v2_GSM337837,v2_GSM337838,v2_GSM337839	NA	NA	NA	NA	NA	NA	NA	NA	Pyramidal	TRUE	TRUE	NA	Pyramidal Neurons	Cortex	Layer 6 Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	Astrocyte contamination		
GSM337773	4	H_mn_brainstem:v2_GSM337773,v2_GSM337774,v2_GSM337775	Neuron	NA	MotorCholin	MotorCholin	Cholinergic	MotorCholin	NA	MotorCholin	MotorCholin	TRUE	TRUE	MotorCholinStem	Motor Neurons, Midbrain Cholinergic Neurons	Brainstem	Brainstem	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337774	4	H_mn_brainstem:v2_GSM337773,v2_GSM337774,v2_GSM337775	Neuron	NA	MotorCholin	MotorCholin	Cholinergic	MotorCholin	NA	MotorCholin	MotorCholin	TRUE	TRUE	MotorCholinStem	Motor Neurons, Midbrain Cholinergic Neurons	Brainstem	Brainstem	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337775	4	H_mn_brainstem:v2_GSM337773,v2_GSM337774,v2_GSM337775	Neuron	NA	MotorCholin	MotorCholin	Cholinergic	MotorCholin	NA	MotorCholin	MotorCholin	TRUE	TRUE	MotorCholinStem	Motor Neurons, Midbrain Cholinergic Neurons	Brainstem	Brainstem	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337779	5	H_chol_basal_fb:v2_GSM337779,v2_GSM337780,v2_GSM337781	Neuron	NA	Cholin	Cholin	Cholinergic	Cholinergic	NA	Cholin	Cholin	TRUE	TRUE	CholinForebrain	Cholinergic Projection Neurons	Forebrain	Basal Forebrain	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337780	5	H_chol_basal_fb:v2_GSM337779,v2_GSM337780,v2_GSM337781	Neuron	NA	Cholin	Cholin	Cholinergic	Cholinergic	NA	Cholin	Cholin	TRUE	TRUE	CholinForebrain	Cholinergic Projection Neurons	Forebrain	Basal Forebrain	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337781	5	H_chol_basal_fb:v2_GSM337779,v2_GSM337780,v2_GSM337781	Neuron	NA	Cholin	Cholin	Cholinergic	Cholinergic	NA	Cholin	Cholin	TRUE	TRUE	CholinForebrain	Cholinergic Projection Neurons	Forebrain	Basal Forebrain	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337785	6	H_chol_spinal:v2_GSM337785,v2_GSM337786,v2_GSM337787	Neuron	NA	MotorCholin	MotorCholin	Cholinergic	MotorCholin	NA	MotorCholin	MotorCholin	TRUE	TRUE	MotorCholinSpinal	Motor Neurons, Cholinergic Interneurons	SpinalCord	Spinal Cord	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337786	6	H_chol_spinal:v2_GSM337785,v2_GSM337786,v2_GSM337787	Neuron	NA	MotorCholin	MotorCholin	Cholinergic	MotorCholin	NA	MotorCholin	MotorCholin	TRUE	TRUE	MotorCholinSpinal	Motor Neurons, Cholinergic Interneurons	SpinalCord	Spinal Cord	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337787	6	H_chol_spinal:v2_GSM337785,v2_GSM337786,v2_GSM337787	Neuron	NA	MotorCholin	MotorCholin	Cholinergic	MotorCholin	NA	MotorCholin	MotorCholin	TRUE	TRUE	MotorCholinSpinal	Motor Neurons, Cholinergic Interneurons	SpinalCord	Spinal Cord	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337791	7	H_chol_corp_striatum:v2_GSM337791,v2_GSM337792,v2_GSM337793	Neuron	NA	Cholin	Cholin	Cholinergic	Cholinergic	NA	Cholin	Cholin	TRUE	TRUE	CholinStr	Cholinergic Neurons	Striatum	Corpus Striatum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337792	7	H_chol_corp_striatum:v2_GSM337791,v2_GSM337792,v2_GSM337793	Neuron	NA	Cholin	Cholin	Cholinergic	Cholinergic	NA	Cholin	Cholin	TRUE	TRUE	CholinStr	Cholinergic Neurons	Striatum	Corpus Striatum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337793	7	H_chol_corp_striatum:v2_GSM337791,v2_GSM337792,v2_GSM337793	Neuron	NA	Cholin	Cholin	Cholinergic	Cholinergic	NA	Cholin	Cholin	TRUE	TRUE	CholinStr	Cholinergic Neurons	Striatum	Corpus Striatum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337804	8	H_cort+_cortex:v2_GSM337804,v2_GSM337805,v2_GSM337806	Neuron	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	Inter	Interneurons	Cortex	Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337805	8	H_cort+_cortex:v2_GSM337804,v2_GSM337805,v2_GSM337806	Neuron	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	Inter	Interneurons	Cortex	Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337806	8	H_cort+_cortex:v2_GSM337804,v2_GSM337805,v2_GSM337806	Neuron	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	Inter	Interneurons	Cortex	Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337807	9	H_drd1+_msn_striatum:v2_GSM337807,v2_GSM337808,v2_GSM337809	Neuron	NA	Spiny	Spiny	Gabaergic	Spiny	NA	Spiny	Spiny	TRUE	TRUE	SpinyDrd1	Drd1+ Medium Spiny Neurons	Striatum	Striatum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337808	9	H_drd1+_msn_striatum:v2_GSM337807,v2_GSM337808,v2_GSM337809	Neuron	NA	Spiny	Spiny	Gabaergic	Spiny	NA	Spiny	Spiny	TRUE	TRUE	SpinyDrd1	Drd1+ Medium Spiny Neurons	Striatum	Striatum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337809	9	H_drd1+_msn_striatum:v2_GSM337807,v2_GSM337808,v2_GSM337809	Neuron	NA	Spiny	Spiny	Gabaergic	Spiny	NA	Spiny	Spiny	TRUE	TRUE	SpinyDrd1	Drd1+ Medium Spiny Neurons	Striatum	Striatum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337812	10	H_drd2+_msn_striatum:v2_GSM337812,v2_GSM337813,v2_GSM337814	Neuron	NA	Spiny	Spiny	Gabaergic	Spiny	NA	Spiny	Spiny	TRUE	TRUE	SpinyDrd2	Drd2+ Medium Spiny Neurons	Striatum	Striatum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337813	10	H_drd2+_msn_striatum:v2_GSM337812,v2_GSM337813,v2_GSM337814	Neuron	NA	Spiny	Spiny	Gabaergic	Spiny	NA	Spiny	Spiny	TRUE	TRUE	SpinyDrd2	Drd2+ Medium Spiny Neurons	Striatum	Striatum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337814	10	H_drd2+_msn_striatum:v2_GSM337812,v2_GSM337813,v2_GSM337814	Neuron	NA	Spiny	Spiny	Gabaergic	Spiny	NA	Spiny	Spiny	TRUE	TRUE	SpinyDrd2	Drd2+ Medium Spiny Neurons	Striatum	Striatum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337825	11	H_golgi_cerebellum:v2_GSM337825,v2_GSM337826,v2_GSM337827	Neuron	NA	Golgi	Golgi	Gabaergic	Golgi	NA	Golgi	Golgi	TRUE	TRUE	Golgi	Golgi Cells	Cerebellum	Cerebellum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337826	11	H_golgi_cerebellum:v2_GSM337825,v2_GSM337826,v2_GSM337827	Neuron	NA	Golgi	Golgi	Gabaergic	Golgi	NA	Golgi	Golgi	TRUE	TRUE	Golgi	Golgi Cells	Cerebellum	Cerebellum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337827	11	H_golgi_cerebellum:v2_GSM337825,v2_GSM337826,v2_GSM337827	Neuron	NA	Golgi	Golgi	Gabaergic	Golgi	NA	Golgi	Golgi	TRUE	TRUE	Golgi	Golgi Cells	Cerebellum	Cerebellum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337831	12	H_stell_basket_cerebellum:v2_GSM337831,v2_GSM337832,v2_GSM337833	Neuron	NA	Basket	Basket	Gabaergic	Basket	NA	Basket	Basket	TRUE	TRUE	Basket	Stellate Basket Cells	Cerebellum	Cerebellum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337832	12	H_stell_basket_cerebellum:v2_GSM337831,v2_GSM337832,v2_GSM337833	Neuron	NA	Basket	Basket	Gabaergic	Basket	NA	Basket	Basket	TRUE	TRUE	Basket	Stellate Basket Cells	Cerebellum	Cerebellum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337833	12	H_stell_basket_cerebellum:v2_GSM337831,v2_GSM337832,v2_GSM337833	Neuron	NA	Basket	Basket	Gabaergic	Basket	NA	Basket	Basket	TRUE	TRUE	Basket	Stellate Basket Cells	Cerebellum	Cerebellum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337834	13	H_granule_cerebellum:v2_GSM337834,v2_GSM337835,v2_GSM337836	Neuron	NA	CerebGranule	CerebGranule	Glutamatergic	CerebGranule	NA	CerebGranule	CerebGranule	TRUE	TRUE	GranuleCereb	Granule Cells	Cerebellum	Cerebellum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337835	13	H_granule_cerebellum:v2_GSM337834,v2_GSM337835,v2_GSM337836	Neuron	NA	CerebGranule	CerebGranule	Glutamatergic	CerebGranule	NA	CerebGranule	CerebGranule	TRUE	TRUE	GranuleCereb	Granule Cells	Cerebellum	Cerebellum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337836	13	H_granule_cerebellum:v2_GSM337834,v2_GSM337835,v2_GSM337836	Neuron	NA	CerebGranule	CerebGranule	Glutamatergic	CerebGranule	NA	CerebGranule	CerebGranule	TRUE	TRUE	GranuleCereb	Granule Cells	Cerebellum	Cerebellum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337796	14	H_molig_cerebellum:v2_GSM337796,v2_GSM337797,v2_GSM337798	Glia	NA	Oligo	Oligo	Oligodendrocyte	Oligodendrocyte	NA	Oligo	Oligo	TRUE	TRUE	OligoMature	Mature Oligodendrocytes	Cerebellum	Cerebellum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337797	14	H_molig_cerebellum:v2_GSM337796,v2_GSM337797,v2_GSM337798	Glia	NA	Oligo	Oligo	Oligodendrocyte	Oligodendrocyte	NA	Oligo	Oligo	TRUE	TRUE	OligoMature	Mature Oligodendrocytes	Cerebellum	Cerebellum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337798	14	H_molig_cerebellum:v2_GSM337796,v2_GSM337797,v2_GSM337798	Glia	NA	Oligo	Oligo	Oligodendrocyte	Oligodendrocyte	NA	Oligo	Oligo	TRUE	TRUE	OligoMature	Mature Oligodendrocytes	Cerebellum	Cerebellum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337800	15	H_molig_cortex:v2_GSM337800,v2_GSM337801,v2_GSM337802	Glia	NA	Oligo	Oligo	Oligodendrocyte	Oligodendrocyte	NA	Oligo	Oligo	TRUE	TRUE	OligoMature	Mature Oligodendrocytes	Cortex,Cerebrum	Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337801	15	H_molig_cortex:v2_GSM337800,v2_GSM337801,v2_GSM337802	Glia	NA	Oligo	Oligo	Oligodendrocyte	Oligodendrocyte	NA	Oligo	Oligo	TRUE	TRUE	OligoMature	Mature Oligodendrocytes	Cortex,Cerebrum	Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337802	15	H_molig_cortex:v2_GSM337800,v2_GSM337801,v2_GSM337802	Glia	NA	Oligo	Oligo	Oligodendrocyte	Oligodendrocyte	NA	Oligo	Oligo	TRUE	TRUE	OligoMature	Mature Oligodendrocytes	Cortex,Cerebrum	Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337841	16	H_mixed_olig_cerebellum:v2_GSM337841,v2_GSM337842,v2_GSM337843	Glia	NA	Oligo	Oligo	Oligodendrocyte	Oligodendrocyte	NA	Oligo	Oligo	TRUE	TRUE	OligMix	Mixed Oligodendrocytes	Cerebellum	Cerebellum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337842	16	H_mixed_olig_cerebellum:v2_GSM337841,v2_GSM337842,v2_GSM337843	Glia	NA	Oligo	Oligo	Oligodendrocyte	Oligodendrocyte	NA	Oligo	Oligo	TRUE	TRUE	OligMix	Mixed Oligodendrocytes	Cerebellum	Cerebellum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337843	16	H_mixed_olig_cerebellum:v2_GSM337841,v2_GSM337842,v2_GSM337843	Glia	NA	Oligo	Oligo	Oligodendrocyte	Oligodendrocyte	NA	Oligo	Oligo	TRUE	TRUE	OligMix	Mixed Oligodendrocytes	Cerebellum	Cerebellum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337844	17	H_mixed_olig_cortex:v2_GSM337844,v2_GSM337845,v2_GSM337846	Glia	NA	Oligo	Oligo	Oligodendrocyte	Oligodendrocyte	NA	Oligo	Oligo	TRUE	TRUE	OligMix	Mixed Oligodendrocytes	Cortex,Cerebrum	Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337845	17	H_mixed_olig_cortex:v2_GSM337844,v2_GSM337845,v2_GSM337846	Glia	NA	Oligo	Oligo	Oligodendrocyte	Oligodendrocyte	NA	Oligo	Oligo	TRUE	TRUE	OligMix	Mixed Oligodendrocytes	Cortex,Cerebrum	Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337846	17	H_mixed_olig_cortex:v2_GSM337844,v2_GSM337845,v2_GSM337846	Glia	NA	Oligo	Oligo	Oligodendrocyte	Oligodendrocyte	NA	Oligo	Oligo	TRUE	TRUE	OligMix	Mixed Oligodendrocytes	Cortex,Cerebrum	Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337848	18	H_purkinje_cerebellum:v2_GSM337848,v2_GSM337849,v2_GSM337850,v2_GSM337851,v2_GSM337852,v2_GSM337853	Neuron	NA	Purkinje	Purkinje	Gabaergic	Purkinje	NA	Purkinje	Purkinje	TRUE	TRUE	Purkinje	Purkinje Cells	Cerebellum	Cerebellum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337849	18	H_purkinje_cerebellum:v2_GSM337848,v2_GSM337849,v2_GSM337850,v2_GSM337851,v2_GSM337852,v2_GSM337853	Neuron	NA	Purkinje	Purkinje	Gabaergic	Purkinje	NA	Purkinje	Purkinje	TRUE	TRUE	Purkinje	Purkinje Cells	Cerebellum	Cerebellum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337850	18	H_purkinje_cerebellum:v2_GSM337848,v2_GSM337849,v2_GSM337850,v2_GSM337851,v2_GSM337852,v2_GSM337853	Neuron	NA	Purkinje	Purkinje	Gabaergic	Purkinje	NA	Purkinje	Purkinje	TRUE	TRUE	Purkinje	Purkinje Cells	Cerebellum	Cerebellum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337851	18	H_purkinje_cerebellum:v2_GSM337848,v2_GSM337849,v2_GSM337850,v2_GSM337851,v2_GSM337852,v2_GSM337853	Neuron	NA	Purkinje	Purkinje	Gabaergic	Purkinje	NA	Purkinje	Purkinje	TRUE	TRUE	Purkinje	Purkinje Cells	Cerebellum	Cerebellum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337852	18	H_purkinje_cerebellum:v2_GSM337848,v2_GSM337849,v2_GSM337850,v2_GSM337851,v2_GSM337852,v2_GSM337853	Neuron	NA	Purkinje	Purkinje	Gabaergic	Purkinje	NA	Purkinje	Purkinje	TRUE	TRUE	Purkinje	Purkinje Cells	Cerebellum	Cerebellum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337853	18	H_purkinje_cerebellum:v2_GSM337848,v2_GSM337849,v2_GSM337850,v2_GSM337851,v2_GSM337852,v2_GSM337853	Neuron	NA	Purkinje	Purkinje	Gabaergic	Purkinje	NA	Purkinje	Purkinje	TRUE	TRUE	Purkinje	Purkinje Cells	Cerebellum	Cerebellum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337861	19	H_bergmann_cerebellum:v2_GSM337861,v2_GSM337862,v2_GSM337863	Glia	NA	Bergmann	Bergmann	Bergmann	Bergmann	NA	Bergmann	Astrocyte	TRUE	TRUE	Bergmann	Bergman Glia	Cerebellum	Cerebellum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337862	19	H_bergmann_cerebellum:v2_GSM337861,v2_GSM337862,v2_GSM337863	Glia	NA	Bergmann	Bergmann	Bergmann	Bergmann	NA	Bergmann	Astrocyte	TRUE	TRUE	Bergmann	Bergman Glia	Cerebellum	Cerebellum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM337863	19	H_bergmann_cerebellum:v2_GSM337861,v2_GSM337862,v2_GSM337863	Glia	NA	Bergmann	Bergmann	Bergmann	Bergmann	NA	Bergmann	Astrocyte	TRUE	TRUE	Bergmann	Bergman Glia	Cerebellum	Cerebellum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	GPL1261	Doyle et al., 2008	19013282	TRUE	NA		
GSM241912	20	B_astrosP17:v2_GSM241912,v2_GSM241914,v2_GSM241926	Glia	NA	Astrocyte	Astrocyte	Astrocyte	Astrocyte	NA	Astrocyte	Astrocyte	TRUE	TRUE	Astrocyte	Astrocytes	Cortex,Cerebrum	Cortex	14-35	17	PAN/FACS	RNeasy Micro Kit	T7 IVT	GPL1261	Cahoy et al., 2008	18171944	TRUE	NA		
GSM241914	20	B_astrosP17:v2_GSM241912,v2_GSM241914,v2_GSM241926	Glia	NA	Astrocyte	Astrocyte	Astrocyte	Astrocyte	NA	Astrocyte	Astrocyte	TRUE	TRUE	Astrocyte	Astrocytes	Cortex,Cerebrum	Cortex	14-35	17	PAN/FACS	RNeasy Micro Kit	T7 IVT	GPL1261	Cahoy et al., 2008	18171944	TRUE	NA		
GSM241926	20	B_astrosP17:v2_GSM241912,v2_GSM241914,v2_GSM241926	Glia	NA	Astrocyte	Astrocyte	Astrocyte	Astrocyte	NA	Astrocyte	Astrocyte	TRUE	TRUE	Astrocyte	Astrocytes	Cortex,Cerebrum	Cortex	14-35	17	PAN/FACS	RNeasy Micro Kit	T7 IVT	GPL1261	Cahoy et al., 2008	18171944	TRUE	NA		
